No.,Student_ID,Major_Category,Year_of_Study,Pre_Semester_GPA,Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Paid_Subscription,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Post_Semester_GPA,Skill_Retention_Score,Burnout_Risk_Level
15,100015,STEM,Freshman,3.202,1.22,Copywriting/Drafting,Beginner,1,FALSE,16.52,2,Allowed_With_Citation,4,3.122,70.7,Low
16,100016,STEM,Senior,2.076,14.74,Debugging/Troubleshooting,Beginner,1,TRUE,12.59,4,Allowed_With_Citation,4,2.228,70.66,Medium
17,100017,Humanities,Sophomore,2.931,2.08,Direct_Answer_Generation,Advanced,3,FALSE,15.15,5,Strict_Ban,8,3.214,59.69,Medium
18,100018,Business,Senior,3.156,8.03,Direct_Answer_Generation,Advanced,4,FALSE,10.7,4,Allowed_With_Citation,5,3.39,90.65,Medium
19,100019,Humanities,Junior,2.975,0.51,Summarizing_Reading,Beginner,1,FALSE,10.84,1,Allowed_With_Citation,2,3.412,53.95,Medium
20,100020,STEM,Sophomore,3.305,0.2,Debugging/Troubleshooting,Intermediate,4,FALSE,3.69,1,Allowed_With_Citation,4,3.187,74.23,Medium
21,100021,Business,Sophomore,2.636,1.63,Copywriting/Drafting,Intermediate,4,FALSE,18.71,4,Strict_Ban,3,2.758,78.28,Low
22,100022,STEM,Senior,3.529,4.91,Debugging/Troubleshooting,Beginner,1,FALSE,15.78,2,Allowed_With_Citation,6,3.358,67.56,Low
23,100023,STEM,Junior,3.551,10.48,Copywriting/Drafting,Intermediate,2,TRUE,2.75,2,Allowed_With_Citation,3,3.749,68.81,Medium
24,100024,Humanities,Senior,3.579,0.45,Ideation,Beginner,1,TRUE,10.61,1,Allowed_With_Citation,8,3.76,55.33,Low
25,100025,Humanities,Freshman,2.364,28.72,Copywriting/Drafting,Beginner,1,FALSE,8.24,8,Strict_Ban,7,2.588,63.38,Medium
26,100026,Arts,Senior,3.308,2.38,Ideation,Advanced,4,TRUE,11.33,2,Actively_Encouraged,2,4,81.85,High
27,100027,STEM,Sophomore,3.338,18.62,Debugging/Troubleshooting,Advanced,5,TRUE,14.29,6,Allowed_With_Citation,2,3.822,82.36,Medium
28,100028,Business,Junior,3.302,23.96,Ideation,Intermediate,2,TRUE,6.54,5,Allowed_With_Citation,1,3.487,67.74,High
29,100029,Business,Freshman,3.282,0.68,Ideation,Beginner,1,FALSE,17.89,1,Actively_Encouraged,4,3.088,74.67,Low
30,100030,STEM,Sophomore,3.638,12.83,Debugging/Troubleshooting,Advanced,4,TRUE,10.25,5,Allowed_With_Citation,4,4,61.29,Medium
31,100031,Business,Senior,3.731,1.26,Direct_Answer_Generation,Intermediate,4,TRUE,16.16,2,Allowed_With_Citation,6,3.989,88.44,Low
32,100032,STEM,Sophomore,1.449,0.72,Debugging/Troubleshooting,Intermediate,2,FALSE,11.77,5,Allowed_With_Citation,5,1.342,56.81,Medium
33,100033,STEM,Graduate,2.856,1.27,Direct_Answer_Generation,Advanced,3,FALSE,16.16,3,Allowed_With_Citation,5,3.276,74.03,Medium
34,100034,Medical,Senior,3.148,5.56,Summarizing_Reading,Intermediate,5,FALSE,9.89,2,Allowed_With_Citation,1,3.335,89.14,Medium
35,100035,Medical,Graduate,3.12,19.92,Summarizing_Reading,Beginner,2,TRUE,1,7,Allowed_With_Citation,3,3.207,67.2,High
36,100036,Arts,Sophomore,3.632,1.17,Direct_Answer_Generation,Intermediate,4,TRUE,3.67,2,Strict_Ban,5,3.553,55.89,High
37,100037,Humanities,Freshman,3.303,0.29,Copywriting/Drafting,Advanced,3,FALSE,7.46,1,Allowed_With_Citation,5,3.145,75.11,Low
38,100038,STEM,Junior,3.671,16.77,Debugging/Troubleshooting,Intermediate,3,TRUE,1,5,Allowed_With_Citation,4,3.636,96.68,Low
39,100039,Business,Sophomore,2.403,1.58,Ideation,Intermediate,4,TRUE,13.34,1,Allowed_With_Citation,5,2.365,74.3,High
40,100040,Humanities,Junior,3.086,4.19,Debugging/Troubleshooting,Intermediate,3,FALSE,10.81,2,Actively_Encouraged,2,3.452,92.44,Medium
41,100041,STEM,Senior,2.31,7.17,Debugging/Troubleshooting,Advanced,3,TRUE,8.95,5,Allowed_With_Citation,8,2.686,84.71,Medium
42,100042,Humanities,Senior,3.539,0.41,Summarizing_Reading,Beginner,3,TRUE,11.3,1,Allowed_With_Citation,5,3.812,72.05,Low
43,100043,STEM,Freshman,3.777,8.06,Debugging/Troubleshooting,Beginner,3,FALSE,8.42,3,Allowed_With_Citation,4,3.909,68.22,Medium
44,100044,Medical,Senior,3.048,4.67,Summarizing_Reading,Beginner,3,FALSE,8.21,4,Strict_Ban,4,3.277,79.79,Medium
45,100045,STEM,Junior,3.013,14.47,Debugging/Troubleshooting,Intermediate,3,FALSE,9.36,4,Allowed_With_Citation,7,3.447,62.75,Low
46,100046,Business,Junior,3.503,6.34,Ideation,Intermediate,2,FALSE,21.22,2,Strict_Ban,5,3.942,99.25,Low
47,100047,Humanities,Sophomore,3.842,6.26,Copywriting/Drafting,Intermediate,1,FALSE,11.84,4,Allowed_With_Citation,3,4,76.67,Medium
48,100048,Business,Junior,3.511,8.04,Direct_Answer_Generation,Beginner,2,TRUE,10.5,2,Actively_Encouraged,3,3.567,86.73,Medium
49,100049,Business,Senior,2.645,8.78,Ideation,Intermediate,3,FALSE,5.97,1,Strict_Ban,3,2.884,87.51,High
50,100050,STEM,Senior,3.115,13.39,Summarizing_Reading,Intermediate,2,TRUE,20.87,5,Allowed_With_Citation,4,3.644,83.76,Medium
51,100051,Medical,Sophomore,3.577,11.13,Summarizing_Reading,Advanced,4,TRUE,15.85,3,Strict_Ban,6,4,61.2,High
52,100052,Arts,Senior,2.433,11.16,Debugging/Troubleshooting,Beginner,2,TRUE,12.82,6,Actively_Encouraged,5,2.903,69.95,High
53,100053,Medical,Sophomore,2.958,11.36,Summarizing_Reading,Intermediate,3,TRUE,9.52,5,Allowed_With_Citation,6,3.155,59.46,Low
54,100054,Medical,Senior,3.732,0.88,Ideation,Intermediate,4,TRUE,12.87,4,Allowed_With_Citation,1,3.885,79.82,Medium
55,100055,Business,Junior,3.148,0.16,Summarizing_Reading,Beginner,1,FALSE,15.1,2,Allowed_With_Citation,5,3.393,62.77,Medium
56,100056,Medical,Senior,3.429,20.48,Direct_Answer_Generation,Beginner,2,TRUE,4.24,6,Actively_Encouraged,2,3.521,63.38,High
57,100057,STEM,Junior,3.837,2.23,Ideation,Advanced,4,TRUE,14.06,4,Strict_Ban,4,3.988,60.88,Medium
58,100058,STEM,Sophomore,3.249,9.77,Ideation,Advanced,3,TRUE,17.42,4,Allowed_With_Citation,4,3.342,80.19,Medium
59,100059,STEM,Junior,3.015,2.7,Debugging/Troubleshooting,Beginner,2,FALSE,18.28,3,Allowed_With_Citation,4,3.394,83.39,Medium
60,100060,Humanities,Sophomore,3.167,14.92,Summarizing_Reading,Beginner,2,FALSE,10.74,2,Strict_Ban,8,3.518,70.28,Medium
61,100061,Humanities,Sophomore,3.697,6.6,Ideation,Advanced,3,FALSE,10.29,4,Strict_Ban,5,3.914,77.49,Low
62,100062,STEM,Freshman,3.463,2.47,Debugging/Troubleshooting,Intermediate,3,FALSE,8.94,1,Allowed_With_Citation,1,3.665,60.08,Medium
63,100063,Arts,Senior,2.164,17.37,Copywriting/Drafting,Beginner,1,FALSE,10.06,6,Strict_Ban,5,2.339,77.44,High
64,100064,Humanities,Freshman,2.771,7.02,Copywriting/Drafting,Intermediate,4,FALSE,13.18,2,Allowed_With_Citation,3,2.896,57.43,Low
65,100065,STEM,Graduate,3.569,8.2,Ideation,Intermediate,1,FALSE,17.15,2,Actively_Encouraged,4,3.922,75.58,Low
66,100066,Business,Freshman,3.074,0.65,Ideation,Intermediate,3,TRUE,14.09,3,Actively_Encouraged,5,3.416,80.16,Medium
67,100067,STEM,Graduate,3.329,6.73,Debugging/Troubleshooting,Intermediate,4,TRUE,15.32,3,Allowed_With_Citation,2,3.702,80.75,Medium
68,100068,Arts,Graduate,3.606,1.1,Ideation,Beginner,2,FALSE,17.55,2,Strict_Ban,3,3.758,60.58,Medium
69,100069,STEM,Sophomore,3.645,16.74,Direct_Answer_Generation,Advanced,3,TRUE,6.48,4,Allowed_With_Citation,2,3.879,78.14,High
70,100070,Medical,Graduate,2.838,9.62,Copywriting/Drafting,Beginner,1,TRUE,7.64,5,Allowed_With_Citation,5,2.951,65.48,Low
71,100071,Arts,Graduate,3.047,18.86,Direct_Answer_Generation,Beginner,1,TRUE,13.19,6,Allowed_With_Citation,7,3.295,53.65,High
72,100072,STEM,Freshman,3.117,13.89,Copywriting/Drafting,Beginner,2,FALSE,9.7,8,Allowed_With_Citation,6,3.326,45.39,Medium
73,100073,STEM,Graduate,3.251,9.97,Debugging/Troubleshooting,Advanced,3,FALSE,6.39,3,Actively_Encouraged,5,3.687,80.79,Low
74,100074,Arts,Freshman,2.579,8.72,Ideation,Advanced,3,FALSE,14.07,4,Allowed_With_Citation,3,2.962,63.96,Low
75,100075,Business,Freshman,2.919,2.08,Direct_Answer_Generation,Beginner,1,FALSE,19.29,5,Allowed_With_Citation,3,3.389,58.03,Low
76,100076,Business,Junior,2.023,5.4,Copywriting/Drafting,Beginner,2,FALSE,13.8,2,Allowed_With_Citation,5,2.468,72.32,Medium
77,100077,Arts,Freshman,2.494,7.29,Copywriting/Drafting,Beginner,3,FALSE,6.21,1,Allowed_With_Citation,7,2.393,78.1,Low
78,100078,STEM,Freshman,3.631,0.9,Debugging/Troubleshooting,Advanced,4,TRUE,11.39,1,Allowed_With_Citation,2,3.969,85.55,Low
79,100079,Humanities,Graduate,2.659,8.84,Copywriting/Drafting,Intermediate,2,FALSE,16.3,1,Allowed_With_Citation,8,3.21,77.88,High
80,100080,STEM,Graduate,2.862,5.01,Summarizing_Reading,Beginner,3,TRUE,14.7,2,Allowed_With_Citation,1,3.293,76.51,Medium
81,100081,Arts,Senior,3.274,2.79,Copywriting/Drafting,Beginner,2,TRUE,1.96,2,Allowed_With_Citation,1,3.195,69.29,Low
82,100082,Business,Junior,3.332,8.53,Direct_Answer_Generation,Beginner,2,FALSE,12.93,4,Strict_Ban,2,3.421,64.26,Low
83,100083,Humanities,Graduate,3.221,13.97,Summarizing_Reading,Beginner,1,FALSE,4.38,4,Actively_Encouraged,4,3.418,75.13,Medium
84,100084,STEM,Freshman,3.414,3.7,Debugging/Troubleshooting,Intermediate,4,FALSE,17.94,2,Allowed_With_Citation,2,3.691,73.6,Medium
85,100085,Humanities,Graduate,2.132,8.18,Direct_Answer_Generation,Advanced,4,FALSE,12.32,4,Actively_Encouraged,3,2.354,65.13,Low
86,100086,Humanities,Sophomore,3.106,8.23,Debugging/Troubleshooting,Intermediate,3,FALSE,18.91,3,Strict_Ban,3,3.334,81.48,Medium
87,100087,Business,Graduate,3.033,9.65,Ideation,Intermediate,5,TRUE,2.81,2,Strict_Ban,5,3.216,93.82,High
88,100088,Business,Senior,2.549,13.19,Ideation,Beginner,2,TRUE,11.21,6,Allowed_With_Citation,5,2.855,59.64,Medium
89,100089,Medical,Graduate,3.367,6.51,Summarizing_Reading,Beginner,3,TRUE,2.53,1,Actively_Encouraged,2,3.389,79.27,High
90,100090,Humanities,Graduate,3.544,34,Debugging/Troubleshooting,Beginner,2,FALSE,8.67,6,Actively_Encouraged,1,3.795,68.8,High
91,100091,STEM,Graduate,2.291,7.91,Debugging/Troubleshooting,Intermediate,5,FALSE,14.46,3,Actively_Encouraged,6,2.75,55.09,Medium
92,100092,Business,Junior,2.592,5.87,Copywriting/Drafting,Intermediate,5,TRUE,8.39,3,Strict_Ban,2,3.139,65.99,High
93,100093,Arts,Senior,2.561,0.16,Debugging/Troubleshooting,Intermediate,5,FALSE,14.86,3,Allowed_With_Citation,1,2.887,68.77,Low
94,100094,Business,Senior,2.778,12.92,Direct_Answer_Generation,Intermediate,2,TRUE,9.91,7,Actively_Encouraged,8,3.17,74.32,Medium
95,100095,Arts,Freshman,3.099,21.32,Summarizing_Reading,Beginner,2,TRUE,12.78,3,Allowed_With_Citation,4,3.378,76.16,Medium
96,100096,Humanities,Senior,3.773,5.21,Copywriting/Drafting,Beginner,1,FALSE,11.81,1,Allowed_With_Citation,3,3.873,59.56,High
97,100097,Business,Freshman,2.907,3.32,Direct_Answer_Generation,Intermediate,2,FALSE,8.4,2,Actively_Encouraged,5,2.993,71.8,Medium
98,100098,Humanities,Graduate,2.292,3.02,Copywriting/Drafting,Beginner,2,FALSE,9.14,2,Allowed_With_Citation,3,2.918,66.73,Medium
99,100099,STEM,Freshman,2.016,28.71,Debugging/Troubleshooting,Advanced,5,TRUE,5.64,6,Allowed_With_Citation,4,2.473,55.74,Medium
100,100100,STEM,Graduate,2.661,11.3,Direct_Answer_Generation,Advanced,3,FALSE,11.04,6,Allowed_With_Citation,2,2.754,98.76,High
101,100101,STEM,Sophomore,3.612,25.83,Debugging/Troubleshooting,Intermediate,3,TRUE,10.46,7,Allowed_With_Citation,6,3.715,62.3,High
102,100102,Business,Freshman,2.038,8.9,Debugging/Troubleshooting,Intermediate,3,TRUE,13.27,6,Strict_Ban,4,1.942,55.12,Medium
103,100103,Humanities,Graduate,3.786,3.32,Copywriting/Drafting,Beginner,2,TRUE,10.21,5,Allowed_With_Citation,2,4,56.37,Medium
104,100104,Business,Freshman,3.204,4.77,Debugging/Troubleshooting,Intermediate,2,FALSE,13.78,2,Allowed_With_Citation,4,3.348,85.52,Low
105,100105,Medical,Junior,2.076,5.72,Copywriting/Drafting,Intermediate,2,TRUE,13.43,2,Actively_Encouraged,2,2.307,63.93,Medium
106,100106,STEM,Senior,2.972,9.6,Debugging/Troubleshooting,Intermediate,3,TRUE,8.86,3,Allowed_With_Citation,1,3.234,87.33,Medium
107,100107,Humanities,Sophomore,2.728,6.37,Copywriting/Drafting,Advanced,3,TRUE,9.82,2,Strict_Ban,1,2.869,84.71,Low
108,100108,Arts,Junior,2.133,4.33,Direct_Answer_Generation,Beginner,1,FALSE,11.66,2,Strict_Ban,4,2.468,72.83,Low
109,100109,STEM,Senior,2.926,0.43,Copywriting/Drafting,Intermediate,4,FALSE,19.85,3,Allowed_With_Citation,1,3.321,94.36,Low
110,100110,STEM,Graduate,2.379,10.28,Ideation,Advanced,4,FALSE,21.84,4,Allowed_With_Citation,2,3.09,96.15,Low
111,100111,STEM,Freshman,3.866,7.54,Debugging/Troubleshooting,Beginner,1,FALSE,5.89,2,Strict_Ban,4,4,53.65,Low
112,100112,STEM,Freshman,3.203,12.06,Ideation,Beginner,3,TRUE,10.76,6,Allowed_With_Citation,6,3.257,82.36,Medium
113,100113,Medical,Junior,3.501,9.86,Ideation,Intermediate,2,FALSE,10.92,5,Allowed_With_Citation,3,3.839,85.42,Low
114,100114,Arts,Sophomore,3.151,2.86,Copywriting/Drafting,Beginner,1,TRUE,8.7,4,Allowed_With_Citation,1,3.176,66.09,Low
115,100115,Business,Sophomore,3.784,2.61,Ideation,Advanced,5,FALSE,17.37,1,Allowed_With_Citation,3,4,83.06,Low
116,100116,Medical,Sophomore,3.242,1.25,Ideation,Beginner,3,FALSE,8.2,2,Allowed_With_Citation,3,3.705,78.83,Medium
117,100117,Arts,Junior,2.845,5.45,Summarizing_Reading,Advanced,3,TRUE,13.36,3,Actively_Encouraged,4,3.213,61.45,Low
118,100118,STEM,Graduate,3.915,0.73,Debugging/Troubleshooting,Intermediate,2,FALSE,14.34,1,Strict_Ban,6,4,62.09,Low
119,100119,Medical,Freshman,2.67,27.9,Summarizing_Reading,Beginner,2,FALSE,3.85,7,Allowed_With_Citation,5,2.602,62.97,Medium
120,100120,Business,Freshman,2.074,0.9,Ideation,Advanced,5,TRUE,14.29,1,Allowed_With_Citation,3,2.217,69.58,Low
121,100121,Arts,Senior,1.845,3.58,Ideation,Intermediate,4,FALSE,13.55,3,Allowed_With_Citation,2,2.293,63.51,Medium
122,100122,Medical,Freshman,3.667,0.51,Direct_Answer_Generation,Beginner,2,FALSE,18.15,4,Actively_Encouraged,9,3.99,69.49,Low
123,100123,Humanities,Senior,3.684,18.48,Copywriting/Drafting,Beginner,1,FALSE,15.63,4,Allowed_With_Citation,4,4,88.85,Medium
124,100124,STEM,Sophomore,3.856,3.16,Ideation,Advanced,3,TRUE,6.88,5,Actively_Encouraged,6,4,93.35,Medium
125,100125,STEM,Sophomore,3.446,40,Summarizing_Reading,Intermediate,4,FALSE,7.47,10,Actively_Encouraged,2,3.441,76.67,High
126,100126,Humanities,Sophomore,3.086,18.06,Debugging/Troubleshooting,Beginner,2,FALSE,7.85,7,Actively_Encouraged,8,3.137,86.56,Medium
127,100127,Arts,Sophomore,2.461,5.4,Direct_Answer_Generation,Intermediate,2,FALSE,11.48,4,Allowed_With_Citation,2,2.574,96.82,Low
128,100128,Arts,Senior,3.887,23.63,Ideation,Beginner,2,TRUE,17.8,7,Strict_Ban,9,4,76.58,Medium
129,100129,STEM,Graduate,3.092,3.94,Debugging/Troubleshooting,Intermediate,4,FALSE,13.31,3,Allowed_With_Citation,3,3.456,63.1,Medium
130,100130,Business,Junior,3.537,8.18,Ideation,Intermediate,2,FALSE,14.57,2,Actively_Encouraged,1,3.576,96.33,Low
131,100131,Humanities,Junior,3.138,1.62,Copywriting/Drafting,Beginner,2,FALSE,11.94,1,Allowed_With_Citation,6,3.146,48.73,Low
132,100132,STEM,Freshman,3.505,20.76,Ideation,Advanced,3,TRUE,7.95,5,Allowed_With_Citation,4,4,84.53,Low
133,100133,STEM,Senior,3.724,9.69,Debugging/Troubleshooting,Beginner,3,FALSE,13.35,5,Actively_Encouraged,5,3.897,73.28,Medium
134,100134,Humanities,Junior,3.416,16.77,Direct_Answer_Generation,Advanced,3,FALSE,11.01,6,Allowed_With_Citation,1,3.717,67.16,High
135,100135,Medical,Freshman,2.398,6.97,Summarizing_Reading,Beginner,2,FALSE,10.01,3,Allowed_With_Citation,7,2.57,67.06,Low
136,100136,Humanities,Freshman,2.686,6.39,Debugging/Troubleshooting,Beginner,1,TRUE,8.27,3,Actively_Encouraged,7,2.785,56.59,Medium
137,100137,Business,Freshman,3.164,11.13,Debugging/Troubleshooting,Beginner,3,TRUE,12.68,8,Allowed_With_Citation,3,3.49,77.45,Medium
138,100138,Business,Freshman,2.767,0.44,Ideation,Advanced,4,TRUE,19.67,4,Strict_Ban,2,3.137,82.77,Medium
139,100139,Humanities,Senior,3.706,4.18,Direct_Answer_Generation,Intermediate,1,TRUE,5.38,1,Allowed_With_Citation,3,3.881,59.74,Medium
140,100140,Medical,Graduate,3.393,1.9,Ideation,Beginner,2,FALSE,9.32,3,Allowed_With_Citation,2,3.384,64.37,Low
141,100141,Medical,Senior,2.443,20.69,Ideation,Beginner,2,FALSE,1.95,4,Allowed_With_Citation,7,2.674,79.7,High
142,100142,STEM,Junior,2.407,25.2,Debugging/Troubleshooting,Advanced,4,TRUE,10.34,4,Allowed_With_Citation,4,2.794,69.1,High
143,100143,Humanities,Sophomore,3.43,10.37,Copywriting/Drafting,Advanced,4,TRUE,16.72,4,Actively_Encouraged,1,3.641,78.81,Medium
144,100144,Humanities,Sophomore,3.668,16.61,Summarizing_Reading,Beginner,3,FALSE,6.92,5,Allowed_With_Citation,7,3.645,76.77,High
145,100145,STEM,Junior,3.691,22.04,Summarizing_Reading,Intermediate,1,TRUE,1,6,Allowed_With_Citation,9,3.877,72.99,Low
146,100146,STEM,Sophomore,2.425,9.16,Ideation,Advanced,3,FALSE,18.86,5,Actively_Encouraged,4,2.992,90.32,High
147,100147,Business,Sophomore,3.087,25.66,Ideation,Intermediate,1,FALSE,1,5,Allowed_With_Citation,4,3.103,79.98,High
148,100148,Business,Junior,2.107,6.05,Ideation,Beginner,2,TRUE,6.14,1,Actively_Encouraged,1,2.313,76.11,Low
149,100149,STEM,Sophomore,3.221,40,Debugging/Troubleshooting,Beginner,3,TRUE,4.54,6,Allowed_With_Citation,5,3.347,57.02,High
150,100150,STEM,Freshman,3.641,35.18,Debugging/Troubleshooting,Advanced,4,TRUE,7.77,8,Actively_Encouraged,6,3.84,51.53,High
151,100151,Medical,Freshman,3.85,20.4,Copywriting/Drafting,Beginner,1,FALSE,16.51,6,Actively_Encouraged,6,4,100,Medium
152,100152,STEM,Sophomore,2.784,4.43,Copywriting/Drafting,Intermediate,5,TRUE,17.4,4,Allowed_With_Citation,3,3.092,82.92,Low
153,100153,STEM,Junior,2.871,4.13,Summarizing_Reading,Advanced,4,FALSE,10.31,1,Allowed_With_Citation,4,2.848,85.82,Medium
154,100154,Humanities,Sophomore,3.518,4.01,Ideation,Intermediate,3,TRUE,18.42,1,Allowed_With_Citation,3,3.728,88.31,Low
155,100155,Medical,Freshman,3.661,1.52,Summarizing_Reading,Intermediate,3,FALSE,8,3,Strict_Ban,2,3.851,48.59,Medium
156,100156,STEM,Sophomore,3.441,1.35,Copywriting/Drafting,Advanced,3,FALSE,20.18,3,Actively_Encouraged,4,3.745,72.69,Medium
157,100157,Business,Freshman,2.323,9.72,Summarizing_Reading,Beginner,3,FALSE,10.26,6,Allowed_With_Citation,7,2.537,73.34,High
158,100158,Arts,Graduate,3.033,3.86,Copywriting/Drafting,Beginner,3,TRUE,6.6,5,Actively_Encouraged,5,3.487,71.38,High
159,100159,STEM,Sophomore,2.148,10.2,Direct_Answer_Generation,Beginner,2,TRUE,6.81,4,Strict_Ban,4,2.536,81.38,High
160,100160,Business,Freshman,3.491,2.92,Ideation,Intermediate,3,TRUE,13.33,4,Actively_Encouraged,9,3.739,77.34,Medium
161,100161,Humanities,Senior,3.564,2.76,Copywriting/Drafting,Beginner,3,FALSE,21.05,1,Actively_Encouraged,5,4,66.33,Low
162,100162,Business,Sophomore,3.518,9.49,Summarizing_Reading,Beginner,2,FALSE,7.24,5,Strict_Ban,5,3.553,76.08,Low
163,100163,Business,Junior,3.34,2.62,Debugging/Troubleshooting,Beginner,1,FALSE,18.85,3,Allowed_With_Citation,2,3.728,81.7,High
164,100164,Business,Freshman,3.565,1.41,Ideation,Intermediate,2,FALSE,15.13,4,Allowed_With_Citation,5,3.905,80.89,Low
165,100165,STEM,Graduate,2.309,27.25,Debugging/Troubleshooting,Beginner,3,TRUE,12.13,6,Allowed_With_Citation,5,2.606,70.82,High
166,100166,Arts,Graduate,3.365,9.67,Ideation,Beginner,2,FALSE,7.94,3,Actively_Encouraged,5,3.286,66.16,High
167,100167,Humanities,Senior,3.257,1.18,Summarizing_Reading,Beginner,1,FALSE,16.79,1,Strict_Ban,2,3.809,81.93,High
168,100168,STEM,Senior,2.258,2.67,Debugging/Troubleshooting,Intermediate,1,FALSE,6.45,3,Allowed_With_Citation,1,2.326,82.16,Low
169,100169,STEM,Junior,2.086,4.31,Debugging/Troubleshooting,Intermediate,2,FALSE,5.11,2,Strict_Ban,5,2.38,51.4,Medium
170,100170,Business,Graduate,2.331,5.54,Summarizing_Reading,Intermediate,2,TRUE,11,3,Strict_Ban,4,2.493,83.54,High
171,100171,Business,Junior,1.737,0.78,Ideation,Advanced,4,TRUE,15.51,5,Allowed_With_Citation,5,2.001,82.74,Low
172,100172,STEM,Sophomore,3.3,2.54,Ideation,Intermediate,1,FALSE,9.31,4,Allowed_With_Citation,7,3.386,80.69,Medium
173,100173,Business,Freshman,2.624,0.11,Summarizing_Reading,Advanced,3,FALSE,10.56,3,Allowed_With_Citation,7,2.737,71.53,Medium
174,100174,STEM,Freshman,3.478,9.82,Copywriting/Drafting,Beginner,2,FALSE,1.21,3,Allowed_With_Citation,6,3.476,41.99,Low
175,100175,Business,Junior,2.121,14.99,Direct_Answer_Generation,Intermediate,2,FALSE,14.5,6,Actively_Encouraged,3,2.264,65.19,Medium
176,100176,STEM,Sophomore,3.174,2.13,Debugging/Troubleshooting,Beginner,2,FALSE,18.79,5,Actively_Encouraged,8,3.084,69.25,High
177,100177,Business,Senior,3.349,18.12,Ideation,Advanced,4,FALSE,6.81,6,Allowed_With_Citation,5,3.457,87.34,High
178,100178,Humanities,Sophomore,2.576,3.46,Summarizing_Reading,Beginner,3,TRUE,18.16,3,Allowed_With_Citation,4,2.835,73.45,Low
179,100179,Medical,Graduate,3.66,2.94,Copywriting/Drafting,Beginner,1,TRUE,12.84,3,Strict_Ban,5,3.961,59.54,Low
180,100180,STEM,Junior,2.866,2.7,Debugging/Troubleshooting,Advanced,5,FALSE,10.94,2,Actively_Encouraged,2,3.515,66.28,Low
181,100181,Humanities,Junior,2.129,26.24,Copywriting/Drafting,Advanced,5,TRUE,7.7,7,Strict_Ban,9,2.284,82.23,High
182,100182,STEM,Junior,3.676,3.1,Debugging/Troubleshooting,Beginner,1,TRUE,17.08,4,Strict_Ban,1,3.814,57.65,Low
183,100183,Medical,Graduate,3.443,3.49,Ideation,Advanced,3,TRUE,10.52,2,Actively_Encouraged,3,3.805,90.63,High
184,100184,Medical,Freshman,3.295,0.75,Summarizing_Reading,Beginner,2,FALSE,18.67,1,Allowed_With_Citation,5,3.413,64.58,Low
185,100185,STEM,Freshman,3.022,37.66,Copywriting/Drafting,Intermediate,3,TRUE,7.47,6,Allowed_With_Citation,7,3.26,55.99,Medium
186,100186,Business,Senior,3.43,0.36,Debugging/Troubleshooting,Beginner,2,FALSE,12.55,4,Allowed_With_Citation,1,3.995,90.27,Low
